{'time': 2.73, 'color': 'yellow', 'zone': 3, 'Event': 'Entry'}
{'time': 9.23, 'color': 'dark-green', 'zone': 1, 'Event': 'Entry'}
{'time': 9.33, 'color': 'dark-green', 'zone': 1, 'Event': 'Exit'}
{'time': 9.33, 'color': 'dark-green', 'zone': 4, 'Event': 'Entry'}
{'time': 12.17, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 12.37, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 12.43, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 12.53, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 12.87, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 18.07, 'color': 'dark-green', 'zone': 4, 'Event': 'Exit'}
{'time': 18.17, 'color': 'dark-green', 'zone': 4, 'Event': 'Entry'}
{'time': 18.27, 'color': 'dark-green', 'zone': 4, 'Event': 'Exit'}
{'time': 20.97, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 21.07, 'color': 'peach', 'zone': 1, 'Event': 'Entry'}
{'time': 21.1, 'color': 'peach', 'zone': 1, 'Event': 'Exit'}
{'time': 26.97, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 27.0, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 27.1, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 27.43, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 28.1, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 28.17, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 28.3, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 28.4, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 28.43, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 29.07, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 29.47, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 29.53, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
{'time': 29.57, 'color': 'peach', 'zone': 2, 'Event': 'Entry'}
{'time': 29.8, 'color': 'yellow', 'zone': 3, 'Event': 'Exit'}
{'time': 29.97, 'color': 'peach', 'zone': 2, 'Event': 'Exit'}
